id,name,popularity,followers,genres,user
2yEwvVSSSUkcLeSTNyHKh8,TOOL,73,4566599,"alternative metal, metal, progressive metal, progressive rock",C
30F64wQIHvLiFTGaNZ73nU,Sewerslvt,55,414528,"breakcore, hyperpop, jungle, speedcore",C
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,79,9031342,melodic rap,M
34vLhockmYhf3LgznwyNaQ,POLIÇA,44,181741,"alternative, indie",C
36ufPZjygPOubok9wycfl9,Död Mark,36,47807,indie,I
38u18VoGaIwVeSyVoA0eU5,Hope Sandoval & The Warm Inventions,49,195153,"art pop, dream pop, slowcore",C
3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,69,2399446,"alternative hip hop, experimental hip hop, hiphop",I
3B9O5mYYw89fFXkwKh7jCS,TK from Ling tosite sigure,59,527495,"anime, j-pop, j-rock",I
3D21btY4uY8j3LYwAR7zwz,Georgian Folk,52,24770,"folk, georgian folk",M
3DmG65yHQsMms7WAvrZOdt,Enigma,65,1108271,"gregorian chant, new age",C
3GSt4ZSP1wEtdbcTTbwjpW,Foxes In Fiction,32,30077,"dream pop, shoegaze",C
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,73,3366415,"southern hip hop, trap",M
3IaqcRr2teHDEqhRE5emu9,empire! empire! (i was a lonely estate),34,53051,"emo, math rock, midwest emo, screamo",C
3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,71,3995925,"classic rock, progressive rock",C
3MZsBdqDrRTJihTHQrO6Dq,Joji,83,10774412,alt,I
3OsRAKCvk37zwYcnzRf5XF,Moby,70,2083749,"downtempo, trip hop",M
3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,72,1169316,post-punk,C
3SoOohS0zlj8nLdGmhrKA7,Olivver the Kid,39,47368,"melodic bass, pop",I
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,81,8103232,"indie, lo-fi indie",I
3TVXtAsR1Inumwj472S9r4,Drake,97,104131521,rap,M
3TdVTSmMfLh55VrJDUpIQ2,Tamaryn,46,68110,"dream pop, shoegaze",C
3WaJSfKnzc65VDgmj2zU8B,Interpol,64,1834203,"indie rock, post-punk",C
