"name","id","genres","collaborators"
"jonatan leandoer96","5tPS5f7Gu3SaJQusdkehtE","rap",NA
"Julian Casablancas","1rAv1GhTQ2rmG94p9lU3rB","indie",NA
"Juliana Chahayed","2qvGuhgaubJ02pfiKcJAdR","edm",NA
"Kanye West","5K4W6rqBFWDnAN6FQUkS6x","rap","Bon Iver, DJ Premier, Drake, Eminem, Frank Ocean, Lil Baby, Lil Durk, Playboi Carti, Rich The Kid, The Weeknd, Travis Scott"
"Kap G","6JvU33PZ8MtZyeFTESr09O","","A Boogie Wit da Hoodie, Gunna, HoodRich Pablo Juan, Lil Baby, Lil Uzi Vert, Playboi Carti, Quavo, Young Thug"
"Karnivool","6rX8AFY10dsJkJsv23Z9Um","progressive metal, progressive rock, djent, alternative metal",NA
"Kasabian","11wRdbnoYqRddKBrpHt4Ue","britpop, indie, indie rock",NA
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","hip hop, west coast hip hop","Drake, Future, Jhené Aiko, Kodak Black, The Weeknd, Travis Scott"
"Key Glock","0RESbWvOMyua0yuyVrztJ5","","Paper Route EMPIRE, PaperRoute Woo, Rich The Kid, SNUPE BANDZ, Young Dolph"
"King Krule","4wyNyxs74Ux8UIDopNjIai","",NA
"King Von","6QtgPSJPSzcnn7dPZ4VINp","chicago drill, drill","21 Savage, 42 Dugg, A Boogie Wit da Hoodie, Lil Durk, Moneybagg Yo, NLE Choppa, Offset, Polo G, Tee Grizzley"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","",NA
"Kinrose","6SUbi1ZVEswHqRUWsxmq2m","",NA
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","","6ix9ine, A Boogie Wit da Hoodie, D-Block Europe, Don Toliver, Future, Gucci Mane, Gunna, Lil Durk, Lil Tecca, Lil Yachty, Moneybagg Yo, NLE Choppa, Offset, Pooh Shiesty, Tory Lanez, Travis Scott, Young Thug"
"Kurupt","6NyJIFHAePjHR1pFxwisqz","g-funk, west coast hip hop, gangster rap, old school hip hop","Kendrick Lamar, The Alchemist"
"La Capone","69HouC7BpXVxTAFwpckJHs","chicago drill, drill",NA
"Lady Radiator","5U2FH1VnxiZYbLcUVWGrov","post-hardcore",NA
"Le Tigre","2n6FviARgtjjimZXu18uRM","indie",NA
"Leo Kaliski","0Q17losYLQmvFMI0dxBqIz","indie",NA
"Lil Baby","5f7VJjfbwm532GiveGC0ZK","","21 Savage, 42 Dugg, Central Cee, DaBaby, Drake, Future, Gucci Mane, Gunna, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Lil Yachty, Meek Mill, Moneybagg Yo, NAV, Offset, Pooh Shiesty, Quality Control, Quavo, The Weeknd, Travis Scott, Young Dolph, Young Thug"
