id,name,popularity,followers,genres,user,detected category
3cGojc1Yu89IHXx8OeSnee,Thaiboy Digital,54,189615,"cloud rap, hyperpop",I,Electronic; Hip Hop/Rap; Pop
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,87,38033428,"pop, r&b, soul",M,Pop; R&B
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,66,2363447,indie,I,Alternative/Indie
3hcs9uc56yIGFCSy9leWe7,Lil Durk,80,9645053,"chicago drill, drill",M,Hip Hop/Rap
3inCNiUr4R6XQ3W43s9Aqi,Pavement,59,745456,"alt, alternative rock, indie",I,Alternative/Indie; Rock/Metal
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,64,2403466,"baroque pop, indie rock",C,Alternative/Indie; Rock/Metal
3mIj9lX2MWuHmhNCA7LSCW,The 1975,77,8009459,indie,I,Alternative/Indie
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,74,2350970,indie,"I, C",Alternative/Indie
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,81,6048148,rage rap,M,Hip Hop/Rap
3rbtPd0NcvhO2AzMfzx90z,Fredo,63,957712,"drill, grime, uk drill, uk grime",M,Hip Hop/Rap
3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,67,1345926,"cool jazz, jazz, vocal jazz",I,Jazz
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,75,5178495,"rap, southern hip hop, trap",M,Hip Hop/Rap
3tM7dj8ztmzKcugbIVMxy0,The Crying Nudes,43,31890,"alternative, indie",C,Alternative/Indie
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,81,7991267,r&b,M,R&B
3uwAm6vQy7kWPS2bciKWx9,girl in red,74,8852519,"bedroom pop, vocal",I,Other; Pop
3x11XrMEnyP18hv73pmKRL,Chanel Beads,48,51783,lo-fi indie,C,Alternative/Indie
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,80,7838343,"jangle pop, madchester, new wave, rock",I,Pop; Rock/Metal
3ycxRkcZ67ALN3GQJ57Vig,Masego,71,1613284,"alternative r&b, r&b, soul",M,R&B
3zmfs9cQwzJl575W1ZYXeT,Men I Trust,71,2349792,"bedroom pop, indie pop",C,Pop
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,75,6138468,"alt, alternative rock, rock",I,Alternative/Indie; Rock/Metal
41SQP16hv1TioVYqdckmxT,Real Estate,46,409324,"dream pop, jangle pop, surf rock",C,Pop; Rock/Metal
42lt7Lr6m3qVIesp9pP4oH,Jaymay,29,26657,"anti-folk, indie",I,Alternative/Indie; Folk
436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,67,441790,classical,I,Classical
45gHcnDnMC15sgx3VL7ROG,42 Dugg,70,1609971,"detroit hip hop, trap",M,Hip Hop/Rap
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,81,12584931,"rap, southern hip hop, trap",M,Hip Hop/Rap
485uL27bPomh29R4JmQehQ,Bob Seger,69,2904844,classic rock,C,Rock/Metal
4BFLElxtBEdsdwGA1kHTsx,ElGrandeToto,70,4483357,"arabic hip hop, moroccan pop, moroccan rap",M,Hip Hop/Rap; International; Pop
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,64,2087185,alternative metal,C,Alternative/Indie; Rock/Metal
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,5679919,"rap, trap",M,Hip Hop/Rap
4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,65,1453730,"folk, indie, indie folk",C,Alternative/Indie; Folk
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,80,10275630,"melodic rap, rap",M,Hip Hop/Rap
