id,name,popularity,followers,genres,user,detected category,record_label
1t20wYnTiAT0Bs7H1hv9Wt,EDEN,61,1006702,alt,I,Alternative/Indie,"EDEN-Astralwerks, MCMXCV, MCMXCV (EDEN), MCMXCV LTD."
1tG7s7S4sq2eFFW0QZyLbm,Sheff G,65,1237929,"brooklyn drill, drill, new york drill",M,Hip Hop/Rap,"Winners Circle / EMPIRE, Winners Circle/RCA Records"
1tHzhv6nGl2i5ZaSSFiwK7,You'll Never Get to Heaven,54,120912,"dream pop, shoegaze",C,Pop; Rock/Metal,Mystic Roses
1tnjjbgszXYa8BbyTzwM0w,Whirr,55,347606,"dream pop, shoegaze, slowcore",C,Pop; Rock/Metal,Free Whirl
1vCWHaC5f2uS3yhpwWbIA6,Avicii,81,23467417,edm,I,Electronic,"Pophouse Entertainment Group, Universal Music AB"
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,76,9989805,"grunge, post-grunge, rock",C,Rock/Metal,"Epic/Legacy, MUSIC ALLIGATOR LTD, Pearl Jam Ten Club, Pearl Jam/Monkeywrench, Republic Records, Republic/Pearl Jam, Universal-Island Records Ltd."
1xA7r3Y1UGCp3rQMkgFXz4,Faramarz Aslani,39,141452,"iranian pop, persian pop",M,International; Pop,"Bamahang Productions, Caltex Records, DBF Records, Parastoo Production, Pars Video"
1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,64,292148,"rap, trap",M,Hip Hop/Rap,300 Entertainment
1ymHnk986duca17oMSDzwb,Christine Croshaw,28,204,"classical, classical piano",I,Classical,Meridian Records
1zg9SzoXC2U50P7Q403Alo,Phantom Handshakes,34,8045,"dream pop, shoegaze",C,Pop; Rock/Metal,"602379 Records DK, Phantom Handshakes"
20sxb77xiYeusSH8cVdatc,Meek Mill,74,8299305,rap,M,Hip Hop/Rap,"MMG/Atlantic, Maybach Music Group under exclusive license to gamma., Meek Mill"
23DYJsw4uSCguIqiTIDtcN,Southside,59,189384,chicago drill,M,Hip Hop/Rap,"808 MAFIA, 808 Mafia Records, Epic, Epic/Freebandz, Machine Entertainment Group - G Herbo, Whole Lotta Racks Ent. / 808 Mafia West"
2A1dxDBORVkkbHJDVDOhed,Free Party,47,56049,"drill, uk drill",M,Hip Hop/Rap,"Omnificent Republic, Omnificent Republic Co"
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,67,1363385,"indie, singer-songwriter",I,Alternative/Indie,"DreamWorks, Geffen, Kill Rock Stars"
2CnhqfjUG0qzsru0SMuhrk,Title Fight,65,644016,"emo, melodic hardcore, midwest emo, post-hardcore, shoegaze",C,Alternative/Indie; Rock/Metal,"Purple Circle Records, Run For Cover Records, SideOneDummy Records"
2GkzAz3xr5IasfL5ukwDb9,No Clear Mind,40,47628,post-rock,C,Rock/Metal,568735 Records DK
2IEnjZsVDEPKUTxNinyqba,Tiffany Gouché,44,33138,"r&b, soul",M,R&B,Goochies Good LLC
2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,55,860868,"baroque pop, indie, indie rock",C,Alternative/Indie; Rock/Metal,"Audraglint, Grizzly Bear Music/RCA Records, Kanine Records, Warp Records"
2OJaTm0rPZVyMA5k5s8vbh,Antoni Wit,49,2411,"classical, requiem",I,Classical,"CD Accord, CapriccioNR, DUX, Naxos, Naxos Special Projects"
2SaIA1enj83vEmJikZdjQ3,Triathalon,41,100315,bedroom pop,C,Pop,"Dead Oceans, Lex Records, Triathalon"
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,69,2989589,classic rock,C,Rock/Metal,"143/Warner Records, American Recordings, Geffen, Reprise, Tom Petty P&D, Warner Records"
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,70,4025731,"alternative rock, grunge, post-grunge, rock",C,Alternative/Indie; Rock/Metal,"Atlantic Records, Rhino, Rhino Atlantic"
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,90,45094537,"hip hop, west coast hip hop","M, I, C",Hip Hop/Rap,"Aftermath, Black Panther (TDE/DMG) PS, Top Dawg Entertainment / Section.80, pgLang, under exclusive license to Interscope Records, pgLang/Top Dawg Entertainment/Aftermath/Interscope Records"
2exkZbmNqMKnT8LRWuxWgy,Moderat,56,765615,"electronica, idm",C,Electronic,"50 WEAPONS, BPitch Control, Monkeytown Records, Mute"
2gClsBep1tt1rv1CN210SO,Gabriel Fauré,62,233670,"classical, requiem",I,Classical,"Novus Promusica, UME - Global Clearing House, Warner Classics"
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,63,531871,"midwest, midwest emo",I,Alternative/Indie; Rock/Metal,"Audiotree Music, Pinegrove, Rough Trade, Run For Cover Records"
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,85,20536143,alt,I,Alternative/Indie,"Boys Don't Cry, Red Zone Entertainment / IDJ"
