name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
Department Of Eagles,0d2BmAcZ7p8vrtBPY48WMW,29,53227,C,0d2BmAcZ7p8vrtBPY48WMW,,indie,"4AD, Ear Park Music"
DIIV,4OrizGCKhOrW6iDDJHN9xd,48,413862,C,4OrizGCKhOrW6iDDJHN9xd,,"dream pop, shoegaze","Captured Tracks, Fantasy"
DJ Candlestick,0Ld26D4Ya5Od7ZZpLanfQJ,47,12842,M,0Ld26D4Ya5Od7ZZpLanfQJ,"A$AP Rocky, Brent Faiyaz, Don Toliver, Drake, FELIX!, Gunna, ISO Supremacy, Kendrick Lamar, Lil Baby, Masego, Rich The Kid, Tommy Richman, Tyler, The Creator","hip hop, turntablism","Blixky Ent., CHOPNOTSLOP ENT, CLS Music, ChopNotSlop Ent., ISO Supremacy under exclusive license to UnitedMasters LLC, OVO Sound, Viper Records"
DJ Premier,6GEykX11lQqp92UVOQQCC7,67,327583,C,6GEykX11lQqp92UVOQQCC7,,east coast hip hop,"420 Music / Coalmine Records, TTT, Year Round Records, year round records"
DNCE,6T5tfhQCknKG4UnH90qGnz,68,4597954,M,6T5tfhQCknKG4UnH90qGnz,,"dance pop, pop","Joseph Jonas/Republic Records, Republic Records"
Död Mark,36ufPZjygPOubok9wycfl9,36,47807,I,36ufPZjygPOubok9wycfl9,,indie,YEAR0001
Don Toliver,4Gso3d4CscCijv0lmajZWs,86,7630205,M,4Gso3d4CscCijv0lmajZWs,"Brent Faiyaz, DJ Candlestick, Future, Gunna, Kodak Black, Lil Durk, Lil Uzi Vert, Masego, Metro Boomin, Mustard, NAV, Offset, Playboi Carti, Quavo, Travis Scott, Yeat","melodic rap, rap, trap","Cactus Jack / Atlantic, We Run It Ent./Cactus Jack/Atlantic"
Downstait,4g6EnIPhmYBTZ7vsmxDkxH,47,54807,M,4g6EnIPhmYBTZ7vsmxDkxH,,"alternative metal, hard rock",Downstait
Drake,3TVXtAsR1Inumwj472S9r4,97,104131521,M,3TVXtAsR1Inumwj472S9r4,"21 Savage, BlocBoy JB, Brent Faiyaz, Central Cee, DaBaby, Dave, DJ Candlestick, Eminem, Future, Gucci Mane, Gunna, Jhené Aiko, Kanye West, Kendrick Lamar, Lil Baby, Lil Durk, Lil Yachty, Meek Mill, Metro Boomin, Michael Jackson, Migos, Offset, Playboi Carti, Quavo, The Weeknd, Travis Scott, Yeat, Young Stoner Life, Young Thug",rap,"Cash Money Records/Young Money Ent./Universal Rec., Cash Money/Drake LP6, OVO, OVO / Republic Records, OVO Sound, OVO/Republic"
"Dream, Ivory",0qZyvjwZauLmrobrpJmvib,65,525269,I,0qZyvjwZauLmrobrpJmvib,,alt,"Dream, Ivory LLC"
